title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
Asteroids,2600,Shooter,Atari,Atari,,4.31,4.0,,0.26,0.05,1/1/1981,
Demon Attack,2600,Shooter,Imagic,Imagic,,2.13,1.99,,0.12,0.02,1/1/1982,
E.T.: The Extra Terrestrial,2600,Action,Atari,Atari,,1.97,1.84,,0.11,0.02,1/1/1982,
Ms. Pac-Man,2600,Puzzle,Atari,General Entertainment,,1.65,1.54,,0.1,0.02,1/1/1982,
Dig Dug,2600,Puzzle,Atari,Atari,,1.64,1.52,,0.1,0.02,1/1/1983,
River Raid,2600,Shooter,Activision,Activision,,1.6,1.49,,0.09,0.02,1/1/1982,
Mario Bros.,2600,Platform,Atari,Atari,,1.59,1.48,,0.09,0.02,10/1/1983,
Donkey Kong,2600,Platform,Coleco,Nintendo,,1.46,1.36,,0.08,0.02,1/1/1982,
Centipede,2600,Shooter,Atari,Atari,,1.36,1.26,,0.08,0.01,1/1/1982,
Pitfall II: Lost Caverns,2600,Platform,Activision,Activision,,1.31,1.22,,0.07,0.02,9/16/1983,
Super Street Fighter II Turbo,3DO,Fighting,Panasonic Interactive Media,Capcom,,0.09,,0.09,,,1/1/1994,
Policenauts,3DO,Adventure,Konami,Konami,,0.06,,0.06,,,9/29/1995,
Sotsugyou II: Neo Generation Special,3DO,Simulation,Imageworks,Shar Rock,,0.02,,0.02,,,11/22/1995,
Bust-A-Move,3DO,Puzzle,Panasonic Interactive Media,Taito Corporation,,0.02,,0.02,,,1/1/1995,
Dragon Quest XI,3DS,Role-Playing,Square Enix,Square Enix,,1.82,,1.82,,,7/29/2017,1/5/2018
Tomodachi Collection: New Life,3DS,Simulation,Nintendo,Nintendo,,1.69,,1.69,,,4/13/2013,1/6/2018
Mario & Sonic at the London 2012 Olympic Games,3DS,Sports,Sega,Sega,6.5,1.19,0.18,0.27,0.66,0.08,2/14/2012,
Dragon Quest VIII: Journey of the Cursed King,3DS,Role-Playing,Nintendo,Level 5 / Armor Project,8.8,1.15,0.14,0.88,0.11,0.02,1/20/2017,1/7/2018
LEGO Star Wars III: The Clone Wars,3DS,Action,LucasArts,Traveller's Tales,6.7,1.14,0.61,,0.44,0.09,3/27/2011,
Sonic Generations,3DS,Platform,Sega,Sonic Team,6.3,1.06,0.44,0.01,0.52,0.08,11/22/2011,
Lego Marvel Super Heroes: Universe in Peril,3DS,Action,Warner Bros. Interactive Entertainment,TT Fusion,,1.05,0.42,0.04,0.5,0.08,10/22/2013,1/4/2018
PilotWings Resort,3DS,Simulation,Nintendo,Monster Games,6.9,0.96,0.4,0.13,0.36,0.07,3/27/2011,
Harvest Moon 3D: A New Beginning,3DS,Simulation,Natsume,Marvelous,8.2,0.95,0.41,0.31,0.18,0.06,11/6/2012,1/7/2018
All,,,,,,0.0,,,,,,
